email,datetime,rname,rbranch,foodname,amount,note
zmandre5@cafepress.com,2017-07-23 00:00:00.000000,Feedburner Eats,Bubutan,Risotto,7,Extra Sauce
ecosterd6@goo.ne.jp,2020-12-30 00:00:00.000000,Warung Webs,Penjaringan,Casserole,1,No onion
djoel7@google.nl,2021-10-05 00:00:00.000000,Stanford Resto,Setiabudi,Tuna Nigiri,5,
estorton8@comsenz.com,2018-05-12 00:00:00.000000,NatGeo Eats,Semarang Selatan,Salmon Sashimi,2,No spicy
vbestwerthick9@gov.uk,2019-10-10 00:00:00.000000,Ovh Diner,Kebon Jeruk,Gudeg,7,
acardenosaa@earthlink.net,2017-05-05 00:00:00.000000,Warung Webs,Penjaringan,Carbonara,6,
scutillb@vinaora.com,2022-05-07 00:00:00.000000,RM Xrea,Medan Kota,Rujak Cingur,9,Extra Sauce
gtinseyc@tuttocitta.it,2022-09-10 00:00:00.000000,Warteg Yellowbook,Pakualaman,Tom Yum,3,
efavilld@dell.com,2021-01-24 00:00:00.000000,Image Shack,Pademangan,Pad Thai,2,Extra Cheese
ecraydone@theatlantic.com,2021-11-09 00:00:00.000000,Warmindo Imgur,Taman Sari,Dendeng Batoko,1,
